Total networks: 24560
Total scanned IPs: 52917
Cidr IPs-in-cidr
178.62.0.0/18 3
143.202.209.0/24 1
172.106.80.0/21 2
23.108.224.0/19 1
147.255.120.0/22 1
180.160.0.0/13 4
134.73.94.0/24 1
139.162.128.0/19 7
87.240.192.0/18 1
125.23.0.0/16 2
23.61.16.0/20 4
146.66.99.0/24 1
150.162.128.0/17 1
139.5.184.0/24 1
104.119.128.0/20 3
104.74.112.0/20 4
173.236.128.0/17 27
104.19.208.0/20 5
104.68.64.0/19 5
23.67.42.0/23 1
52.14.0.0/16 7
173.198.192.0/18 8
104.100.48.0/20 2
172.64.48.0/20 2
143.236.0.0/16 1
153.224.0.0/12 3
184.175.128.0/18 1
163.191.96.0/19 8
23.58.176.0/20 2
175.224.0.0/12 8
69.192.108.0/22 1
154.221.128.0/18 12
163.198.53.0/24 1
54.232.192.0/18 2
101.55.25.0/24 1
45.83.116.0/22 2
50.17.0.0/16 6
54.244.128.0/17 4
96.7.112.0/20 4
13.225.122.0/23 1
195.225.252.0/22 1
202.90.242.0/24 1
14.190.32.0/20 1
92.123.16.0/20 4
144.89.0.0/16 1
218.85.136.0/22 2
96.250.0.0/16 1
23.48.44.0/22 1
142.93.192.0/20 2
104.122.48.0/20 8
104.19.0.0/20 6
194.80.0.0/14 5
187.190.24.0/23 1
104.82.96.0/20 4
47.74.128.0/18 6
146.247.96.0/20 1
159.253.128.0/19 1
52.66.64.0/18 2
139.255.96.0/22 1
181.209.0.0/17 2
200.1.104.0/21 1
104.72.192.0/20 3
201.221.129.0/24 1
58.16.0.0/16 3
23.88.128.0/18 7
61.174.0.0/15 5
180.76.182.0/23 1
23.196.64.0/20 4
179.96.224.0/21 1
195.226.160.0/19 1
172.231.0.0/20 6
144.172.88.0/23 1
13.226.96.0/21 3
77.104.132.0/24 2
187.111.140.0/22 1
178.175.192.0/19 2
99.84.100.0/22 2
162.159.216.0/21 5
134.121.0.0/16 5
213.141.32.0/19 3
103.24.173.0/24 1
103.14.121.0/24 1
23.66.16.0/20 3
103.24.153.0/24 1
61.94.238.0/23 3
208.84.240.0/21 1
36.72.184.0/21 2
150.203.0.0/16 1
103.22.198.0/24 1
82.223.0.0/16 17
104.114.96.0/20 3
88.248.101.0/24 1
59.110.128.0/17 9
154.81.64.0/18 8
46.208.0.0/16 1
54.194.0.0/16 4
46.127.0.0/16 1
195.34.160.0/19 1
23.83.224.0/20 3
2.216.0.0/13 2
180.252.144.0/20 2
165.28.216.0/21 1
190.193.224.0/19 1
85.90.52.0/22 2
200.93.160.0/21 1
104.105.144.0/20 2
107.178.140.0/22 2
185.71.164.0/22 1
183.82.248.0/23 1
198.55.244.0/22 1
54.234.0.0/15 11
180.179.149.0/24 1
24.229.0.0/16 2
3.13.0.0/16 13
104.28.112.0/20 5
23.197.54.0/23 1
104.23.96.0/20 3
192.254.224.0/20 1
116.85.55.0/24 1
161.185.128.0/17 10
5.151.0.0/16 1
95.174.65.0/24 1
102.141.128.0/18 3
23.15.160.0/20 7
192.175.96.0/19 1
185.250.106.0/24 1
212.125.26.0/24 1
148.72.68.0/22 2
23.50.4.0/22 2
173.222.140.0/22 3
23.7.64.0/20 2
113.172.128.0/19 1
185.214.142.0/23 3
128.65.112.0/20 1
77.55.64.0/19 2
112.73.64.0/18 1
213.176.72.0/22 1
223.197.160.0/19 1
185.249.100.0/24 2
119.158.0.0/18 1
38.143.218.0/24 1
185.43.204.0/22 1
104.18.96.0/20 3
185.2.128.0/22 1
85.9.45.0/24 1
114.118.8.0/21 3
136.228.224.0/23 1
23.193.48.0/22 1
101.76.0.0/15 4
207.207.0.0/18 3
52.9.0.0/16 10
96.17.208.0/20 4
104.20.0.0/20 6
139.219.0.0/17 1
152.160.192.0/18 3
45.79.160.0/20 3
64.28.0.0/19 1
96.16.168.0/22 3
136.0.128.0/17 19
170.178.192.0/19 2
86.49.0.0/17 1
181.236.228.0/23 1
64.25.24.0/23 1
209.236.120.0/21 1
208.64.224.0/21 1
23.8.16.0/20 4
192.28.152.0/23 1
154.90.157.0/24 1
182.242.136.0/21 1
23.254.32.0/20 3
23.63.192.0/19 13
154.219.128.0/18 9
54.171.0.0/16 9
101.254.172.0/22 1
198.98.96.0/20 1
104.71.64.0/20 6
71.14.0.0/20 1
223.194.176.0/21 3
104.76.152.0/21 1
60.205.0.0/17 8
31.3.152.0/22 1
52.56.0.0/16 10
218.94.0.0/16 1
181.236.160.0/20 1
168.183.40.0/24 1
23.79.16.0/20 4
66.113.192.0/20 2
156.236.112.0/22 1
104.171.176.0/20 4
23.33.16.0/20 4
177.54.224.0/20 1
173.246.116.0/24 1
104.109.80.0/20 5
107.21.64.0/18 2
219.144.64.0/19 1
31.220.14.0/24 1
23.8.0.0/20 3
128.240.0.0/16 33
35.236.0.0/14 19
104.123.128.0/20 4
90.125.0.0/16 1
109.190.0.0/16 4
132.248.128.0/17 2
104.78.96.0/20 2
203.84.248.0/21 1
139.162.224.0/19 5
151.101.156.0/22 1
216.15.128.0/17 4
103.15.235.0/24 1
96.6.224.0/20 2
54.229.0.0/17 2
82.166.0.0/16 2
37.58.128.0/17 5
13.33.112.0/21 3
104.126.160.0/20 4
23.1.208.0/20 2
190.77.128.0/19 2
222.167.48.0/20 1
213.244.48.0/21 3
206.41.192.0/19 2
194.96.0.0/16 1
96.7.58.0/23 1
165.227.244.0/22 1
181.167.224.0/19 1
186.236.128.0/19 1
213.41.0.0/17 1
68.151.80.0/22 1
104.115.224.0/20 5
123.207.52.0/23 1
103.241.88.0/24 1
185.126.144.0/22 1
163.198.51.0/24 2
104.85.160.0/22 2
104.125.128.0/20 2
52.88.0.0/15 17
211.200.0.0/13 7
209.200.96.0/19 5
2.22.244.0/24 2
89.253.224.0/21 1
103.115.16.0/22 1
81.19.176.0/20 1
189.196.224.0/19 2
165.84.204.0/22 1
69.2.32.0/19 1
23.74.8.0/22 1
23.58.160.0/21 1
199.91.107.0/24 1
104.103.236.0/23 2
148.72.171.0/24 1
180.244.228.0/22 2
123.19.112.0/20 1
107.172.224.0/20 2
23.56.240.0/20 7
51.79.0.0/17 7
164.177.128.0/19 1
178.20.147.0/24 1
72.52.128.0/17 17
52.216.230.0/24 1
166.62.100.0/22 1
63.144.0.0/12 4
46.80.0.0/12 5
196.18.64.0/20 6
23.83.176.0/22 1
184.26.24.0/22 1
157.97.32.0/20 3
216.220.224.0/19 2
83.249.32.0/19 1
151.237.16.0/20 4
66.114.168.0/21 2
104.100.0.0/20 3
153.122.0.0/20 3
104.112.152.0/22 2
168.188.0.0/16 25
74.232.0.0/17 1
104.114.224.0/20 1
154.94.141.0/24 1
190.99.160.0/20 1
190.144.0.0/20 1
204.93.64.0/19 3
154.216.185.0/24 1
150.95.8.0/21 2
14.129.114.0/24 1
194.126.22.0/24 1
197.214.128.0/18 11
23.59.128.0/20 3
190.117.64.0/19 1
108.160.188.0/23 1
212.175.128.0/17 2
104.248.0.0/20 1
128.86.0.0/16 1
51.158.0.0/15 9
23.217.32.0/20 6
103.86.158.0/23 1
45.85.76.0/22 1
189.163.176.0/20 1
95.170.152.0/22 1
139.59.128.0/19 6
85.234.28.0/22 1
23.100.0.0/15 6
129.204.128.0/19 2
94.102.51.0/24 1
13.224.188.0/22 1
211.9.192.0/19 4
188.166.0.0/18 7
46.161.48.0/23 1
5.178.120.0/21 1
185.16.40.0/22 1
185.56.208.0/22 2
104.122.224.0/20 1
154.16.228.0/24 1
45.56.120.0/21 1
85.122.16.0/20 1
128.14.0.0/17 4
54.93.128.0/17 4
51.83.0.0/16 10
182.54.160.0/20 2
173.223.176.0/20 3
70.132.17.0/24 1
107.21.0.0/18 3
211.115.64.0/18 3
66.221.0.0/16 9
184.31.32.0/20 3
109.167.0.0/17 2
37.110.0.0/17 2
202.61.85.0/24 2
62.239.0.0/16 1
209.182.204.0/22 1
36.78.64.0/19 7
95.71.128.0/18 2
222.162.0.0/16 2
194.153.147.0/24 1
175.120.0.0/13 6
23.207.176.0/20 10
131.129.0.0/16 1
192.236.160.0/22 1
52.67.0.0/16 7
118.27.0.0/17 4
196.207.77.0/24 1
104.16.224.0/20 1
170.130.72.0/22 2
104.64.16.0/20 5
110.74.48.0/20 3
193.160.247.0/24 1
116.196.64.0/18 1
36.70.240.0/21 3
182.73.240.0/24 1
201.108.208.0/20 1
216.147.160.0/19 1
216.131.96.0/19 6
169.55.60.0/22 1
211.222.202.0/24 1
151.101.0.0/16 36
38.0.0.0/8 80
192.232.192.0/19 4
154.80.192.0/19 5
23.62.128.0/20 6
148.72.88.0/22 1
181.171.192.0/19 2
67.43.0.0/20 2
120.136.8.0/21 3
130.18.0.0/16 1
45.139.8.0/24 1
184.174.68.0/24 1
157.92.0.0/16 3
45.12.136.0/24 2
36.74.0.0/21 1
41.33.128.0/17 2
81.16.28.0/22 1
177.244.0.0/20 1
193.48.0.0/14 11
183.104.0.0/13 18
27.54.80.0/20 2
112.120.192.0/19 1
193.77.192.0/18 1
104.96.216.0/22 1
2.16.30.0/23 1
172.105.32.0/19 1
23.235.33.0/24 1
185.189.44.0/22 4
140.126.0.0/16 1
116.118.68.0/22 1
36.80.128.0/20 5
190.187.48.0/20 2
23.46.80.0/20 4
172.65.240.0/20 5
62.113.80.0/22 1
72.247.48.0/22 2
119.208.0.0/12 8
23.49.32.0/20 6
95.183.8.0/23 2
37.191.96.0/19 1
80.209.128.0/19 1
104.122.16.0/21 2
104.19.240.0/20 3
154.86.128.0/20 4
180.249.168.0/21 1
23.223.208.0/20 5
118.215.120.0/21 1
23.208.192.0/20 4
23.218.192.0/20 3
23.36.4.0/22 1
213.90.0.0/17 2
23.223.160.0/19 6
15.216.0.0/16 1
213.112.0.0/14 2
154.216.64.0/19 9
69.60.160.0/20 1
23.34.8.0/21 1
104.122.212.0/22 2
92.123.36.0/22 3
108.62.244.0/23 1
82.76.0.0/14 9
218.161.0.0/17 8
60.208.0.0/13 3
36.85.208.0/21 3
23.3.112.0/20 5
180.245.20.0/22 1
62.121.128.0/20 1
52.194.0.0/15 10
94.136.184.0/21 2
154.78.0.0/15 1
13.210.0.0/15 9
216.127.128.0/19 1
67.229.100.0/22 1
201.157.0.0/17 3
192.121.44.0/24 1
189.206.114.0/24 1
94.46.252.0/22 1
199.167.65.0/24 2
41.50.0.0/16 1
31.172.112.0/20 1
23.52.224.0/19 11
95.101.80.0/22 1
23.15.48.0/20 3
136.112.0.0/12 1
198.56.248.0/21 3
104.112.64.0/19 12
167.62.144.0/20 1
103.215.52.0/22 3
5.100.224.0/21 1
68.234.166.0/24 1
142.0.128.0/20 3
203.237.32.0/19 3
104.123.200.0/22 1
160.124.48.0/24 1
64.222.122.0/23 1
104.176.0.0/12 4
23.214.176.0/20 3
69.192.112.0/20 5
152.0.0.0/16 16
104.90.208.0/20 4
192.126.128.0/17 31
217.194.208.0/20 2
180.228.0.0/14 1
212.97.128.0/22 1
184.26.224.0/20 5
23.194.204.0/22 2
212.94.192.0/19 1
36.73.220.0/22 3
23.231.48.0/22 1
23.81.208.0/21 3
218.186.2.0/24 1
139.230.0.0/16 1
193.248.0.0/16 3
104.197.160.0/19 2
104.114.192.0/19 6
23.198.16.0/20 2
14.169.224.0/19 3
46.232.224.0/21 1
185.249.236.0/22 1
36.75.104.0/21 3
103.212.72.0/22 1
64.183.150.0/23 2
194.102.139.0/24 1
75.119.192.0/20 3
160.153.0.0/22 2
42.84.0.0/14 1
129.24.0.0/16 2
90.147.0.0/16 2
59.8.0.0/13 14
90.46.0.0/17 1
220.67.192.0/19 4
23.4.112.0/20 3
178.192.0.0/15 2
72.247.0.0/22 1
96.125.189.0/24 1
202.164.49.0/24 1
64.140.168.0/21 2
156.236.194.0/24 1
183.192.192.0/23 1
99.86.48.0/21 2
92.39.176.0/20 1
178.236.144.0/20 3
118.89.40.0/23 1
62.2.0.0/17 1
212.203.32.0/19 1
206.54.192.0/19 1
74.219.160.0/20 1
23.202.236.0/22 1
61.223.0.0/16 2
114.144.0.0/12 4
79.165.0.0/16 1
190.39.128.0/19 1
2.16.12.0/23 2
109.0.0.0/11 5
104.72.64.0/22 1
58.49.156.0/22 1
220.130.0.0/16 3
125.209.200.0/21 1
103.109.222.0/24 1
157.119.28.0/22 2
104.93.224.0/20 3
96.31.32.0/20 3
104.164.0.0/15 61
194.32.242.0/24 1
130.194.0.0/16 1
212.24.96.0/20 2
104.123.112.0/20 2
207.180.222.0/23 1
2.135.224.0/22 2
23.192.176.0/20 7
104.123.72.0/22 2
95.100.112.0/20 3
49.248.41.0/24 1
216.231.20.0/24 1
125.163.172.0/22 1
180.254.176.0/20 3
58.208.0.0/12 23
23.10.192.0/20 2
178.62.64.0/18 6
37.19.93.0/24 1
104.73.96.0/19 7
23.13.240.0/20 3
31.220.21.0/24 1
13.52.0.0/16 6
149.28.128.0/19 3
52.65.0.0/16 12
86.57.120.0/22 2
101.88.0.0/13 3
129.232.128.0/17 6
63.224.0.0/12 17
121.14.48.0/20 1
42.52.0.0/14 1
46.223.128.0/17 1
210.250.224.0/19 2
104.203.128.0/18 12
14.202.24.0/24 1
62.12.128.0/17 2
23.15.96.0/20 2
189.187.224.0/20 1
23.207.0.0/20 6
192.227.86.0/23 1
201.108.96.0/20 1
54.249.0.0/19 1
181.13.176.0/20 1
154.88.32.0/19 7
108.176.64.0/18 1
23.220.0.0/19 4
58.240.0.0/15 2
108.26.64.0/18 2
203.232.0.0/16 1
104.121.96.0/20 2
103.19.16.0/24 1
163.191.128.0/19 5
125.161.90.0/23 1
3.112.0.0/14 4
188.59.128.0/18 3
195.154.0.0/16 10
104.94.18.0/24 1
46.160.144.0/21 1
109.204.128.0/17 2
99.84.136.0/21 3
221.144.0.0/13 7
118.40.0.0/13 16
23.44.64.0/20 3
175.111.108.0/24 1
117.223.160.0/20 1
202.179.224.0/21 1
61.84.0.0/15 5
133.167.0.0/16 4
195.34.84.0/23 1
62.116.160.0/19 3
92.32.0.0/14 4
109.235.64.0/21 1
200.194.182.0/24 1
36.78.136.0/21 1
172.65.64.0/20 5
181.13.144.0/20 2
195.178.192.0/19 2
180.253.136.0/21 2
118.67.11.0/24 1
18.144.0.0/15 3
92.167.128.0/17 2
186.3.128.0/19 1
104.207.57.0/24 1
104.100.96.0/20 3
90.35.128.0/17 1
107.162.158.0/24 2
2.19.32.0/20 3
209.172.224.0/19 1
13.230.0.0/15 12
37.184.0.0/15 13
59.127.128.0/17 8
180.244.244.0/22 1
36.104.0.0/16 2
195.128.100.0/22 1
77.221.254.0/23 1
138.128.160.0/19 4
133.123.0.0/16 1
194.199.0.0/16 1
111.230.8.0/23 1
208.168.240.0/21 1
45.117.183.0/24 1
104.17.224.0/20 4
125.62.86.0/24 1
185.234.4.0/22 1
184.27.64.0/20 2
84.232.112.0/21 1
185.21.8.0/22 3
23.198.224.0/19 5
103.215.49.0/24 2
104.168.128.0/17 9
15.200.0.0/16 1
213.3.0.0/17 2
198.44.162.0/24 1
14.64.0.0/12 7
187.204.224.0/20 1
133.3.0.0/16 2
36.84.200.0/21 3
186.251.160.0/23 1
201.59.192.0/18 2
185.51.164.0/22 1
173.223.140.0/22 2
75.138.48.0/21 2
104.25.112.0/20 1
198.35.44.0/22 1
13.224.124.0/22 2
23.59.208.0/20 7
23.203.252.0/22 2
69.194.8.0/22 1
23.133.2.0/23 1
97.104.0.0/16 2
209.124.68.0/23 1
104.106.144.0/20 6
198.154.224.0/19 1
23.251.56.0/24 1
37.0.80.0/20 1
154.213.160.0/19 9
104.28.96.0/20 5
23.53.172.0/22 1
108.64.0.0/11 6
184.85.240.0/23 1
204.71.140.0/22 1
13.225.90.0/23 1
85.201.16.0/20 1
162.213.136.0/22 1
154.220.192.0/19 5
104.109.192.0/20 5
154.212.32.0/19 4
58.131.128.0/18 15
177.106.0.0/16 4
115.0.0.0/12 8
184.174.95.0/24 2
23.61.252.0/23 1
54.202.0.0/15 11
217.61.216.0/21 1
74.218.0.0/17 1
190.199.128.0/19 1
216.223.64.0/18 1
177.133.96.0/19 1
58.49.224.0/21 1
185.234.16.0/22 1
68.66.76.0/24 1
89.64.0.0/13 1
82.196.224.0/19 1
36.74.208.0/20 2
122.114.0.0/16 27
196.18.136.0/22 2
54.70.0.0/15 9
103.74.163.0/24 1
96.9.0.0/18 7
62.106.120.0/21 1
199.102.144.0/22 1
41.73.226.0/24 1
154.92.32.0/19 9
144.73.204.0/23 1
192.232.224.0/20 3
104.77.153.0/24 2
23.67.33.0/24 1
23.11.192.0/22 2
23.196.208.0/20 4
154.216.170.0/24 1
113.196.192.0/20 1
75.160.0.0/12 7
2.16.224.0/19 7
170.130.116.0/22 2
23.3.105.0/24 1
23.51.128.0/20 4
207.178.128.0/17 2
89.39.5.0/24 1
104.116.176.0/20 1
64.187.144.0/20 1
68.233.224.0/19 2
23.230.232.0/21 1
86.11.0.0/16 2
163.191.192.0/19 5
180.252.128.0/20 3
23.195.148.0/22 2
52.216.17.0/24 1
217.100.128.0/17 3
139.130.0.0/16 2
118.31.128.0/17 3
178.73.192.0/18 9
186.176.20.0/23 1
154.94.166.0/24 1
103.31.52.0/22 1
185.127.111.0/24 1
104.19.160.0/20 4
23.54.176.0/20 5
104.69.128.0/20 2
186.121.232.0/22 1
69.147.16.0/20 3
23.218.128.0/20 3
23.96.0.0/14 17
23.239.215.0/24 1
23.50.162.0/24 1
156.233.225.0/24 1
31.148.31.0/24 1
54.218.128.0/17 1
103.44.133.0/24 1
18.136.0.0/16 7
209.51.192.0/19 1
186.54.32.0/20 1
104.98.96.0/20 4
23.50.136.0/23 1
45.88.180.0/22 1
212.162.0.0/18 3
200.196.40.0/21 1
138.69.242.0/24 1
180.253.232.0/21 3
108.167.168.0/22 1
185.197.140.0/22 1
104.151.128.0/18 11
192.229.237.0/24 1
184.31.96.0/19 10
23.27.192.0/20 3
23.19.200.0/22 1
104.28.240.0/20 6
166.21.248.0/21 2
208.89.104.0/22 1
154.90.142.0/24 1
194.55.228.0/22 1
156.230.64.0/18 12
66.39.0.0/17 11
172.104.16.0/20 1
64.245.76.0/23 1
159.255.168.0/23 2
210.229.224.0/19 2
23.192.240.0/20 5
54.37.0.0/16 21
219.114.0.0/17 1
88.17.0.0/16 1
103.97.3.0/24 1
104.100.112.0/20 4
104.98.208.0/20 4
61.147.233.0/24 1
192.185.64.0/18 14
209.242.216.0/21 3
23.204.176.0/20 4
117.252.0.0/20 1
91.222.136.0/22 3
172.84.119.0/24 2
80.13.0.0/16 4
103.125.250.0/24 1
80.89.224.0/20 1
164.138.216.0/23 3
91.149.252.0/22 1
2.22.28.0/24 1
120.25.0.0/16 12
192.211.127.0/24 1
66.235.176.0/20 2
183.86.240.0/20 1
193.54.0.0/15 5
175.6.8.0/21 1
95.148.0.0/16 1
108.40.0.0/17 1
194.20.244.0/22 1
219.84.128.0/18 1
184.50.87.0/24 1
94.50.240.0/20 1
103.2.36.0/22 2
140.210.64.0/19 1
14.29.32.0/19 1
96.16.48.0/20 3
104.71.136.0/22 1
92.118.154.0/23 1
50.117.0.0/18 9
85.13.137.0/24 1
23.3.4.0/23 1
180.243.0.0/20 3
77.68.0.0/17 9
156.110.240.0/20 1
94.46.8.0/22 1
47.196.0.0/14 3
203.40.0.0/13 7
179.48.251.0/24 1
118.169.0.0/16 2
180.153.0.0/16 2
23.37.64.0/19 7
154.56.136.0/21 1
138.44.64.0/18 1
138.197.128.0/20 3
172.102.205.0/24 1
93.150.64.0/19 1
23.62.148.0/23 1
192.126.116.0/24 1
173.222.176.0/22 3
143.204.60.0/22 4
142.93.32.0/20 4
89.187.128.0/19 5
185.226.145.0/24 1
23.38.0.0/20 4
13.33.144.0/21 2
115.28.0.0/16 5
212.79.178.0/24 1
107.174.184.0/22 1
45.32.224.0/21 3
18.196.0.0/15 15
216.160.0.0/15 2
108.166.192.0/19 5
67.192.0.0/16 3
104.124.64.0/19 6
2.21.100.0/22 3
174.136.64.0/19 2
199.79.156.0/24 1
103.193.78.0/24 1
66.96.128.0/18 5
122.254.0.0/18 3
69.27.38.0/24 1
23.53.232.0/22 3
54.223.64.0/18 3
23.196.144.0/20 3
195.123.236.0/22 1
50.116.96.0/21 3
138.34.28.0/22 1
89.40.0.0/20 1
103.204.76.0/24 1
23.57.240.0/20 9
132.148.88.0/22 1
148.204.0.0/17 2
109.176.0.0/16 1
43.226.144.0/20 4
24.137.32.0/20 1
23.27.160.0/19 3
156.224.16.0/20 3
68.168.104.0/24 1
89.247.192.0/20 1
184.30.80.0/20 8
188.94.248.0/21 2
145.253.0.0/16 1
185.153.245.0/24 1
24.215.64.0/18 1
36.88.128.0/19 7
61.9.32.0/19 1
72.10.188.0/23 1
23.205.16.0/20 4
80.158.32.0/19 2
75.113.0.0/16 1
2.55.0.0/17 1
14.1.196.0/23 1
184.29.224.0/19 10
67.131.80.0/24 1
23.62.64.0/19 2
212.97.120.0/23 1
114.37.0.0/16 2
154.29.219.0/24 2
184.168.244.0/22 1
104.95.160.0/20 9
199.60.0.0/20 4
184.25.0.0/20 8
134.3.0.0/17 3
218.247.80.0/22 2
23.8.160.0/20 5
104.83.208.0/20 2
39.108.128.0/17 10
156.237.192.0/19 5
74.112.72.0/23 1
192.227.114.0/23 1
209.204.225.0/24 2
188.120.80.0/21 1
23.209.112.0/20 3
207.177.0.0/17 2
220.134.64.0/18 4
46.149.197.0/24 1
185.61.150.0/24 1
17.242.136.0/21 1
193.25.112.0/23 1
136.144.192.0/18 3
194.177.192.0/19 2
106.15.0.0/16 13
192.165.45.0/24 1
167.245.64.0/20 2
77.55.0.0/18 14
139.129.128.0/17 15
98.187.232.0/21 1
104.106.160.0/19 10
174.78.160.0/21 1
139.162.32.0/19 6
222.255.114.0/23 1
103.226.28.0/24 1
151.45.0.0/16 1
103.92.0.0/20 3
174.138.48.0/20 3
23.206.64.0/20 3
37.187.0.0/16 15
35.206.192.0/18 13
185.48.181.0/24 1
76.86.0.0/15 3
41.44.128.0/19 1
104.105.192.0/20 4
207.228.0.0/18 5
130.61.32.0/20 1
188.131.144.0/20 2
113.161.24.0/21 2
45.76.144.0/21 2
117.254.192.0/20 2
23.2.18.0/23 1
180.251.224.0/20 2
46.16.72.0/21 2
156.198.64.0/18 1
98.103.144.0/20 1
124.250.0.0/18 3
24.37.192.0/18 1
2.18.76.0/22 1
111.6.0.0/16 8
104.81.252.0/22 2
23.47.176.0/20 4
154.66.208.0/22 1
83.77.0.0/16 2
27.123.22.0/24 1
23.212.63.0/24 1
220.135.128.0/18 3
107.173.128.0/24 1
180.96.0.0/11 10
209.198.128.0/19 2
23.195.176.0/20 4
177.241.100.0/22 1
23.81.220.0/22 1
192.3.200.0/21 1
181.48.224.0/19 2
23.192.224.0/21 1
75.102.0.0/18 1
202.183.80.0/20 1
23.253.128.0/19 5
54.192.216.0/22 2
129.204.64.0/18 1
140.82.56.0/22 1
118.126.8.0/23 1
122.136.0.0/13 2
194.176.64.0/19 1
104.31.80.0/20 6
12.0.0.0/9 31
156.226.128.0/17 4
64.57.96.0/21 2
104.74.224.0/20 6
104.74.72.0/22 2
104.94.32.0/19 6
91.219.68.0/22 1
202.60.233.0/24 1
66.223.0.0/17 2
186.86.80.0/22 1
104.66.64.0/19 2
103.36.48.0/24 1
58.251.80.0/22 1
181.224.208.0/24 1
205.237.243.0/24 2
23.50.64.0/20 5
139.180.208.0/20 2
175.106.43.0/24 1
23.223.64.0/20 4
139.208.0.0/13 5
89.206.128.0/17 1
78.134.0.0/17 1
66.154.0.0/18 4
104.201.0.0/18 13
159.253.96.0/21 1
60.60.0.0/17 1
154.85.160.0/19 3
187.60.34.0/23 1
197.253.64.0/19 6
180.244.128.0/20 2
122.200.224.0/19 6
129.145.0.0/21 1
59.172.0.0/14 2
103.69.28.0/24 1
23.35.160.0/20 3
67.20.64.0/18 11
23.206.10.0/23 1
23.46.128.0/20 5
2.21.104.0/22 1
180.243.96.0/21 4
190.148.128.0/18 1
95.211.0.0/16 5
171.240.48.0/21 1
80.245.112.0/20 1
104.111.0.0/19 9
124.108.32.0/21 2
193.69.0.0/16 1
43.255.30.0/24 2
193.142.104.0/22 1
23.49.192.0/20 3
54.64.0.0/15 22
122.147.0.0/19 2
164.125.80.0/20 6
63.172.234.0/23 3
134.119.98.0/24 1
81.244.0.0/14 3
23.214.204.0/22 2
94.168.0.0/17 1
210.189.168.0/21 1
36.70.176.0/21 5
85.128.192.0/18 12
8.240.0.0/12 20
145.136.0.0/13 21
177.126.232.0/21 1
194.79.28.0/22 1
78.185.118.0/24 1
50.31.246.0/24 1
103.192.120.0/22 1
66.203.144.0/24 2
45.60.127.0/24 1
103.194.114.0/24 1
47.90.64.0/18 5
77.252.0.0/14 1
13.224.208.0/21 1
192.144.128.0/18 2
104.97.16.0/20 4
13.225.76.0/22 1
23.66.32.0/20 3
43.230.36.0/24 1
154.215.64.0/19 5
5.12.0.0/14 3
23.203.32.0/22 1
31.163.0.0/19 1
202.101.128.0/19 1
117.58.248.0/21 1
23.108.160.0/20 3
142.4.75.0/24 2
43.254.144.0/22 1
114.242.128.0/18 1
36.78.186.0/23 1
180.248.48.0/20 3
46.232.26.0/24 2
49.4.80.0/20 3
72.9.144.0/21 3
118.215.32.0/21 3
109.199.64.0/19 2
66.165.232.0/22 1
141.226.132.0/24 1
46.105.0.0/16 12
103.254.75.0/24 1
95.161.236.0/22 1
23.212.12.0/22 3
23.48.37.0/24 1
114.34.0.0/16 15
23.72.208.0/20 2
103.14.208.0/22 3
37.57.60.0/24 1
211.235.32.0/19 2
108.54.0.0/16 1
177.200.192.0/22 2
156.235.224.0/19 5
62.234.160.0/20 2
203.241.224.0/19 10
88.192.0.0/14 1
2.20.72.0/22 2
23.5.0.0/20 7
23.105.24.0/21 2
36.229.0.0/16 1
5.231.160.0/20 2
104.146.128.0/17 4
175.111.4.0/24 1
35.180.0.0/16 5
104.125.12.0/23 1
148.66.12.0/24 1
23.202.96.0/20 4
216.194.64.0/19 7
180.149.208.0/20 1
36.69.216.0/21 2
23.39.240.0/20 4
207.188.176.0/22 2
132.234.0.0/16 1
209.95.32.0/19 1
209.200.80.0/20 2
69.160.64.0/19 1
46.40.244.0/22 1
205.167.184.0/23 1
90.146.128.0/17 1
136.0.64.0/18 4
209.217.83.0/24 1
209.164.64.0/18 3
62.234.0.0/20 2
104.31.128.0/20 4
71.181.28.0/22 1
125.166.156.0/22 3
197.26.64.0/18 6
202.64.9.0/24 1
110.49.111.0/24 1
2.16.172.0/24 1
93.184.132.0/24 1
83.88.0.0/13 1
192.56.113.0/24 1
154.223.128.0/19 3
210.145.0.0/16 2
13.108.0.0/15 17
83.40.0.0/16 1
13.227.8.0/21 3
184.176.32.0/21 1
147.92.41.0/24 1
52.216.184.0/24 1
196.18.4.0/22 1
213.202.64.0/18 1
104.24.208.0/20 2
23.27.228.0/22 1
52.84.134.0/23 2
118.127.64.0/19 1
54.154.0.0/16 6
202.3.160.0/20 1
172.230.208.0/20 3
111.84.160.0/20 8
106.13.96.0/19 2
81.4.108.0/22 1
52.85.216.0/22 2
194.176.121.0/24 1
23.210.236.0/22 3
191.6.139.0/24 1
83.24.0.0/13 1
204.12.192.0/18 2
175.112.0.0/13 5
91.223.77.0/24 1
125.160.116.0/22 4
76.224.0.0/13 4
43.251.204.0/22 1
218.214.136.0/21 1
104.75.164.0/22 2
198.228.79.0/24 1
13.32.111.0/24 1
100.2.0.0/16 1
185.178.192.0/24 1
103.56.55.0/24 1
62.97.64.0/18 4
95.106.176.0/21 1
156.67.232.0/21 1
36.76.96.0/20 4
5.251.128.0/21 2
207.199.161.0/24 2
155.50.0.0/18 9
52.40.0.0/14 31
121.51.130.0/23 1
107.189.128.0/18 7
14.226.248.0/21 2
140.136.0.0/15 1
70.186.27.0/24 1
